state,week,device_average_score,internet_average_score
IL,4,4.611185505,4.590574198
IN,4,4.519141966,4.554974309
KS,4,4.398780091,4.489806719
KY,4,4.486762721,4.593620026
LA,4,4.224247406,4.395099881
MA,4,4.574185349,4.735897058
MD,4,4.616587007,4.735108343
ME,4,4.595591642,4.674565903
MI,4,4.368868674,4.435315738
MN,4,4.72279733,4.728600746
MO,4,4.380734969,4.449913767
MS,4,3.970978789,3.898313003
MT,4,4.528726664,4.653291184
NC,4,4.548099821,4.512706401
ND,4,4.777217436,4.873416834
NE,4,4.562753363,4.612552449
NH,4,4.736423543,4.804829635
NJ,4,4.597559349,4.705690769
NM,4,4.426508025,4.463765964
NV,4,4.441761626,4.614181883
NY,4,4.656937406,4.68173043
OH,4,4.494681909,4.605260979
OK,4,4.188412461,4.461913098
OR,4,4.708471637,4.694800688
PA,4,4.578079345,4.635223816
RI,4,4.794668401,4.779792197
SC,4,4.528693435,4.617971217
SD,4,4.478478015,4.513096817
TN,4,4.422751057,4.521079892
TX,4,4.522770151,4.551605272
UT,4,4.477848908,4.644961198
VA,4,4.52004155,4.655481798
VT,4,4.676689622,4.722107461
WA,4,4.624913733,4.660686111
WI,4,4.587583298,4.562744467
WV,4,4.168289282,4.468695618
WY,4,4.665520446,4.666652842
