"","Select characteristics...1","Total","device_always","device_usually","device_sometimes","device_rarely","device_never","device_nr","internet_always","internet_usually","internet_sometimes","internet_rarely","internet_never","internet_nr","State","Week"
"1087","resp_employed_no",252685,160738,70491,15663,0,5793,0,161119,72102,11370,0,5793,2302,"OR",1
"1088","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"OR",1
"1089","food_enough_want",499631,395043,87138,15228,0,2222,0,425159,61213,9964,0,994,2302,"OR",1
"1090","food_enough_notwant",184069,106579,63964,8727,0,4799,0,117642,54289,6491,848,4799,0,"OR",1
"1091","food_sometimes",42414,21177,766,5375,15095,0,0,14317,6341,19544,2212,0,0,"OR",1
"1092","food_notenough",6750,757,5994,0,0,0,0,6750,0,0,0,0,0,"OR",1
"1093","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"OR",1
"1094","25000>",104638,64337,14546,10860,10096,4799,0,68227,16037,15574,0,4799,0,"OR",1
"1095","25000-34999",50041,36814,6361,6865,0,0,0,34401,3171,12468,0,0,0,"OR",1
"1096","35000-49999",77189,50760,24629,1799,0,0,0,53851,23337,0,0,0,0,"OR",1
"1097","50000-74999",109991,65309,39096,2381,2212,994,0,92729,11549,2507,2212,994,0,"OR",1
"1098","75000-99999",110359,86445,21818,2096,0,0,0,91281,11997,4780,0,0,2302,"OR",1
"1099","100000-149999",149600,103826,41634,2911,0,1229,0,105456,43475,669,0,0,0,"OR",1
"1100","150000-199999",42094,34718,4958,2418,0,0,0,35619,5626,0,848,0,0,"OR",1
"1101","200000<",68924,65441,3483,0,0,0,0,67227,1697,0,0,0,0,"OR",1
"1102","income_nr",20030,15905,1337,0,2788,0,0,15077,4953,0,0,0,0,"OR",1
"1103","Total",2124446,1445365,372767,206790,38625,16791,44107,1658149,281805,70026,34109,27878,52479,"PA",1
"1104","comp_school",845644,575574,161742,83590,24738,0,0,670330,115329,22476,27203,10305,0,"PA",1
"1105","comp_home",1493384,1101419,260576,117502,13888,0,0,1246905,187786,50506,6906,1281,0,"PA",1
"1106","comp_other",24164,17642,0,6523,0,0,0,17642,6523,0,0,0,0,"PA",1
"1107","comp_nr",87276,14816,5874,5688,0,16791,44107,6444,12061,0,0,16292,52479,"PA",1
"1108","int_school",49008,351,20811,27846,0,0,0,36801,10744,1463,0,0,0,"PA",1
"1109","int_home",1945260,1414341,341713,166783,20013,499,1910,1590764,265011,62281,27203,0,0,"PA",1
"1110","int_other",11998,2480,0,9518,0,0,0,0,1454,3639,6906,0,0,"PA",1
"1111","int_nr",118180,28193,10243,2643,18612,16292,42197,30584,4596,2643,0,27878,52479,"PA",1
"1112","yes_unemployed",1046633,682865,183165,88191,38625,16791,36995,770821,145371,31229,29683,27878,41651,"PA",1
"1113","no_unemployed",1077813,762500,189602,118599,0,0,7112,887328,136434,38797,4426,0,10828,"PA",1
"1114","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"PA",1
"1115","resp_employed_yes",1373028,974600,221567,137708,17690,499,20965,1080817,172905,46818,31629,10305,30554,"PA",1
"1116","resp_employed_no",737677,457025,151200,69082,20935,16292,23143,563591,108900,23208,2480,17573,21925,"PA",1
"1117","resp_employed_nr",13740,13740,0,0,0,0,0,13740,0,0,0,0,0,"PA",1
"1118","food_enough_want",1528147,1110021,260173,106124,5581,15801,30448,1295820,147474,31450,0,17082,36321,"PA",1
"1119","food_enough_notwant",412321,259970,67406,42726,27570,990,13660,266435,91451,23054,4426,10796,16158,"PA",1
"1120","food_sometimes",111075,30302,30049,50724,0,0,0,46521,24824,10047,29683,0,0,"PA",1
"1121","food_notenough",72903,45073,15140,7216,5475,0,0,49372,18056,5475,0,0,0,"PA",1
"1122","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"PA",1
"1123","25000>",274945,132297,58149,75541,8958,0,0,141854,75223,22478,34109,1281,0,"PA",1
"1124","25000-34999",184027,56857,74306,47388,5475,0,0,112424,54096,17507,0,0,0,"PA",1
"1125","35000-49999",198070,138936,27035,20349,0,0,11749,149809,33604,2907,0,0,11749,"PA",1
"1126","50000-74999",352641,250576,69038,22231,10305,491,0,282342,38925,20578,0,10796,0,"PA",1
"1127","75000-99999",315657,262506,42570,6411,3671,499,0,278449,35205,2003,0,0,0,"PA",1
"1128","100000-149999",343423,233104,64062,28546,1910,15801,0,308797,16915,1910,0,15801,0,"PA",1
"1129","150000-199999",191436,180595,10841,0,0,0,0,186909,4526,0,0,0,0,"PA",1
"1130","200000<",185753,160728,22170,2162,0,0,693,168556,17197,0,0,0,0,"PA",1
"1131","income_nr",78495,29766,4596,4161,8307,0,31665,29008,6114,2643,0,0,40730,"PA",1
"1132","Total",218345,185183,25268,6317,654,461,461,189917,23366,2854,0,1746,461,"RI",1
"1133","comp_school",120981,105884,10844,4253,0,0,0,108057,10465,1829,0,631,0,"RI",1
"1134","comp_home",137896,118500,15819,2924,654,0,0,122294,13923,1025,0,654,0,"RI",1
"1135","comp_other",2827,2827,0,0,0,0,0,1384,1442,0,0,0,0,"RI",1
"1136","comp_nr",923,0,0,0,0,461,461,0,0,0,0,461,461,"RI",1
"1137","int_school",8343,7631,0,712,0,0,0,6261,2082,0,0,0,0,"RI",1
"1138","int_home",200898,171530,24476,4892,0,0,0,177553,20491,2854,0,0,0,"RI",1
"1139","int_other",0,0,0,0,0,0,0,0,0,0,0,0,0,"RI",1
"1140","int_nr",9420,6338,793,712,654,461,461,6419,793,0,0,1746,461,"RI",1
"1141","yes_unemployed",125298,101912,17840,4892,654,0,0,105933,15857,2854,0,654,0,"RI",1
"1142","no_unemployed",93047,83271,7429,1424,0,461,461,83984,7509,0,0,1092,461,"RI",1
"1143","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"RI",1
"1144","resp_employed_yes",135583,117301,16569,1712,0,0,0,122396,11002,1553,0,631,0,"RI",1
"1145","resp_employed_no",82763,67882,8699,4605,654,461,461,67521,12364,1301,0,1116,461,"RI",1
"1146","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"RI",1
"1147","food_enough_want",138911,128310,8839,1301,0,461,0,124469,12680,1301,0,461,0,"RI",1
"1148","food_enough_notwant",54513,39976,10542,2879,654,0,461,44941,7431,1025,0,654,461,"RI",1
"1149","food_sometimes",15209,9165,3907,2136,0,0,0,11953,3256,0,0,0,0,"RI",1
"1150","food_notenough",5502,3521,1981,0,0,0,0,4343,0,528,0,631,0,"RI",1
"1151","food_nr",4211,4211,0,0,0,0,0,4211,0,0,0,0,0,"RI",1
"1152","25000>",41157,32958,3546,3538,654,461,0,33794,2763,2854,0,1746,0,"RI",1
"1153","25000-34999",9347,6929,1751,668,0,0,0,7081,2266,0,0,0,0,"RI",1
"1154","35000-49999",31850,23431,7707,712,0,0,0,26869,4981,0,0,0,0,"RI",1
"1155","50000-74999",17963,15744,2219,0,0,0,0,14726,3238,0,0,0,0,"RI",1
"1156","75000-99999",52515,48830,2999,687,0,0,0,48825,3691,0,0,0,0,"RI",1
"1157","100000-149999",26817,23252,3564,0,0,0,0,24197,2620,0,0,0,0,"RI",1
"1158","150000-199999",13176,11403,1773,0,0,0,0,11403,1773,0,0,0,0,"RI",1
"1159","200000<",11190,10273,917,0,0,0,0,9947,1243,0,0,0,0,"RI",1
"1160","income_nr",14330,12364,793,712,0,0,461,13076,793,0,0,0,461,"RI",1
"1161","Total",931435,630389,164175,85335,42628,8908,0,643469,179916,57859,38246,6204,5740,"SC",1
"1162","comp_school",416087,324289,53277,26806,11714,0,0,271781,101230,27793,12303,0,2980,"SC",1
"1163","comp_home",632939,393218,138209,70598,30913,0,0,439883,130833,34968,25943,0,1311,"SC",1
"1164","comp_other",14209,14209,0,0,0,0,0,14209,0,0,0,0,0,"SC",1
"1165","comp_nr",18289,7641,1740,0,0,8908,0,6621,2704,0,0,6204,2760,"SC",1
"1166","int_school",2128,2128,0,0,0,0,0,2128,0,0,0,0,0,"SC",1
"1167","int_home",887665,606202,157790,85335,35634,2704,0,625127,179916,56119,26502,0,0,"SC",1
"1168","int_other",18405,9671,1740,0,6994,0,0,6157,0,1740,10508,0,0,"SC",1
"1169","int_nr",24590,13742,4644,0,0,6204,0,11411,0,0,1236,6204,5740,"SC",1
"1170","yes_unemployed",504414,336420,98850,44124,16112,8908,0,369666,82975,29482,14417,6204,1669,"SC",1
"1171","no_unemployed",427021,293970,65325,41211,26516,0,0,273803,96941,28377,23829,0,4071,"SC",1
"1172","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"SC",1
"1173","resp_employed_yes",609622,412105,118740,65432,4437,8908,0,407288,138141,33807,18442,6204,5740,"SC",1
"1174","resp_employed_no",321813,218284,45435,19903,38191,0,0,236182,41775,24052,19804,0,0,"SC",1
"1175","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"SC",1
"1176","food_enough_want",597303,470776,76347,44105,3371,2704,0,459948,105807,8405,19144,0,4000,"SC",1
"1177","food_enough_notwant",236970,124117,54570,35240,16839,6204,0,130725,56281,33355,8665,6204,1740,"SC",1
"1178","food_sometimes",76443,35496,32100,5991,2855,0,0,40229,17828,14943,3443,0,0,"SC",1
"1179","food_notenough",20719,0,1157,0,19562,0,0,12568,0,1157,6994,0,0,"SC",1
"1180","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"SC",1
"1181","25000>",202712,113321,50819,10312,28260,0,0,118887,56053,5597,22175,0,0,"SC",1
"1182","25000-34999",113160,77926,12967,21195,1072,0,0,73177,38911,0,1072,0,0,"SC",1
"1183","35000-49999",94817,44666,27479,8253,11714,2704,0,54407,19380,21030,0,0,0,"SC",1
"1184","50000-74999",173875,96973,36745,33953,0,6204,0,90685,43016,20504,12156,6204,1311,"SC",1
"1185","75000-99999",65975,49046,16785,143,0,0,0,53591,2507,8270,1608,0,0,"SC",1
"1186","100000-149999",139827,119258,9967,9020,1581,0,0,129815,10011,0,0,0,0,"SC",1
"1187","150000-199999",49467,44295,2713,2459,0,0,0,45114,1894,2459,0,0,0,"SC",1
"1188","200000<",44288,42234,2054,0,0,0,0,36144,8145,0,0,0,0,"SC",1
"1189","income_nr",47314,42669,4644,0,0,0,0,41649,0,0,1236,0,4429,"SC",1
"1190","Total",186656,148377,28206,3628,5167,0,1277,144904,28945,6496,4903,0,1408,"SD",1
"1191","comp_school",100025,80977,16053,269,2725,0,0,75419,19885,4039,682,0,0,"SD",1
"1192","comp_home",119914,100019,14513,2940,2442,0,0,100405,15030,2037,2442,0,0,"SD",1
"1193","comp_other",3766,3347,0,419,0,0,0,1568,0,419,1780,0,0,"SD",1
"1194","comp_nr",2781,1504,0,0,0,0,1277,966,408,0,0,0,1408,"SD",1
"1195","int_school",2725,0,0,0,2725,0,0,0,0,2725,0,0,0,"SD",1
"1196","int_home",171625,137772,27977,3027,2442,0,408,137971,27591,2940,3123,0,0,"SD",1
"1197","int_other",2184,1354,229,601,0,0,0,0,1354,830,0,0,0,"SD",1
"1198","int_nr",10121,9251,0,0,0,0,869,6933,0,0,1780,0,1408,"SD",1
"1199","yes_unemployed",81031,64454,11774,1085,2442,0,1277,53832,19297,1860,4634,0,1408,"SD",1
"1200","no_unemployed",105624,83923,16433,2543,2725,0,0,91072,9648,4635,269,0,0,"SD",1
"1201","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"SD",1
"1202","resp_employed_yes",136103,109179,25752,1172,0,0,0,104981,26547,1988,2049,0,539,"SD",1
"1203","resp_employed_no",50553,39198,2455,2456,5167,0,1277,39923,2398,4508,2854,0,869,"SD",1
"1204","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"SD",1
"1205","food_enough_want",127998,115508,9815,1806,0,0,869,107611,17973,1132,412,0,869,"SD",1
"1206","food_enough_notwant",45939,25386,16289,1823,2442,0,0,30025,10564,2100,2711,0,539,"SD",1
"1207","food_sometimes",9993,7483,2102,0,0,0,408,7268,408,539,1780,0,0,"SD",1
"1208","food_notenough",2725,0,0,0,2725,0,0,0,0,2725,0,0,0,"SD",1
"1209","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"SD",1
"1210","25000>",17199,6313,3907,1404,5167,0,408,9160,826,4089,3123,0,0,"SD",1
"1211","25000-34999",7376,6925,451,0,0,0,0,7376,0,0,0,0,0,"SD",1
"1212","35000-49999",29805,20139,8762,903,0,0,0,19055,9847,903,0,0,0,"SD",1
"1213","50000-74999",39027,29244,9364,419,0,0,0,27766,9757,1504,0,0,0,"SD",1
"1214","75000-99999",32994,30604,1487,903,0,0,0,30068,2926,0,0,0,0,"SD",1
"1215","100000-149999",33199,30313,2886,0,0,0,0,29805,3394,0,0,0,0,"SD",1
"1216","150000-199999",9429,9429,0,0,0,0,0,8888,540,0,0,0,0,"SD",1
"1217","200000<",10096,9130,966,0,0,0,0,8824,1272,0,0,0,0,"SD",1
"1218","income_nr",7532,6281,382,0,0,0,869,3963,382,0,1780,0,1408,"SD",1
"1219","Total",1443053,1061728,220197,81581,53733,25813,0,1121792,204834,84925,25520,5982,0,"TN",1
"1220","comp_school",344614,275924,38382,17828,12481,0,0,275396,49590,17726,1902,0,0,"TN",1
"1221","comp_home",1250593,928414,214920,68211,39047,0,0,971342,192959,62674,23617,0,0,"TN",1
"1222","comp_other",13912,3266,0,8441,2205,0,0,4844,2205,6863,0,0,0,"TN",1
"1223","comp_nr",30839,5026,0,0,0,25813,0,20333,0,4525,0,5982,0,"TN",1
"1224","int_school",20364,20364,0,0,0,0,0,17896,2468,0,0,0,0,"TN",1
"1225","int_home",1360096,989620,220197,81581,51831,16867,0,1049187,202367,84925,23617,0,0,"TN",1
"1226","int_other",9376,4509,0,0,1902,2964,0,7474,0,0,1902,0,0,"TN",1
"1227","int_nr",58433,52451,0,0,0,5982,0,52451,0,0,0,5982,0,"TN",1
"1228","yes_unemployed",746645,548089,94510,55485,31225,17336,0,561321,120550,48375,10417,5982,0,"TN",1
"1229","no_unemployed",696408,513639,125688,26096,22508,8477,0,560471,84285,36550,15102,0,0,"TN",1
"1230","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"TN",1
"1231","resp_employed_yes",745714,543939,135195,44176,19855,2548,0,610371,87883,40158,7301,0,0,"TN",1
"1232","resp_employed_no",697339,517789,85003,37405,33878,23265,0,511421,116951,44766,18219,5982,0,"TN",1
"1233","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"TN",1
"1234","food_enough_want",1026355,803214,150450,42195,16177,14319,0,832539,137488,54445,1883,0,0,"TN",1
"1235","food_enough_notwant",265050,161159,55094,25085,23713,0,0,188556,45696,12732,18066,0,0,"TN",1
"1236","food_sometimes",138739,97355,8431,13597,13843,5513,0,100697,21650,11525,4867,0,0,"TN",1
"1237","food_notenough",12908,0,6223,704,0,5982,0,0,0,6223,704,5982,0,"TN",1
"1238","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"TN",1
"1239","25000>",230717,169558,14715,19530,19626,7288,0,172067,18877,22323,15102,2347,0,"TN",1
"1240","25000-34999",75121,36581,11422,12092,7831,7195,0,40621,14117,8918,7831,3634,0,"TN",1
"1241","35000-49999",187486,141573,22659,10521,9880,2853,0,143585,33374,10526,0,0,0,"TN",1
"1242","50000-74999",378331,257201,72667,30805,9180,8477,0,281932,61725,33970,704,0,0,"TN",1
"1243","75000-99999",165473,131766,32086,1620,0,0,0,142332,12070,9188,1883,0,0,"TN",1
"1244","100000-149999",203147,146260,49921,4445,2522,0,0,179899,23248,0,0,0,0,"TN",1
"1245","150000-199999",59837,50652,6617,2568,0,0,0,46625,13212,0,0,0,0,"TN",1
"1246","200000<",80100,68536,6870,0,4694,0,0,51889,28211,0,0,0,0,"TN",1
"1247","income_nr",62841,59600,3241,0,0,0,0,62841,0,0,0,0,0,"TN",1
"1248","Total",6511576,4471061,984018,755347,176081,56843,68225,4465186,1214219,337583,155848,257335,81404,"TX",1
"1249","comp_school",2382858,1839918,313706,227933,1300,0,0,1483049,511337,108136,65233,215102,0,"TX",1
"1250","comp_home",4268601,2921465,676041,543684,127411,0,0,3274137,718615,186969,88879,0,0,"TX",1
"1251","comp_other",93338,8950,22485,14533,47370,0,0,11575,10850,52598,13311,5004,0,"TX",1
"1252","comp_nr",160706,28535,1911,5191,0,56843,68225,32478,1911,5247,2437,37228,81404,"TX",1
"1253","int_school",204771,104624,39847,60300,0,0,0,143728,22234,38809,0,0,0,"TX",1
"1254","int_home",5767862,4103594,839781,657022,144254,16329,6883,4287739,1087338,293921,98864,0,0,"TX",1
"1255","int_other",143068,40748,53762,21734,26823,0,0,40748,21395,26378,54547,0,0,"TX",1
"1256","int_nr",475980,269089,68232,31798,5004,40514,61342,39965,93276,1562,2437,257335,81404,"TX",1
"1257","yes_unemployed",3364811,2114226,514717,534976,113146,49088,38657,2193627,730082,262112,107016,36210,35765,"TX",1
"1258","no_unemployed",3143509,2353579,469301,220371,62935,7756,29568,2268304,484137,75471,48832,221125,45639,"TX",1
"1259","unemployed_nr",3255,3255,0,0,0,0,0,3255,0,0,0,0,0,"TX",1
"1260","resp_employed_yes",4272175,3055816,614315,386026,124306,33749,57962,3073389,613316,209902,63840,245144,66583,"TX",1
"1261","resp_employed_no",2233533,1413400,365679,369322,51775,23094,10263,1389952,596879,127681,92008,12191,14821,"TX",1
"1262","resp_employed_nr",5868,1845,4024,0,0,0,0,1845,4024,0,0,0,0,"TX",1
"1263","food_enough_want",3789592,2972590,454786,197935,65318,33631,65333,2940913,540277,117667,87240,24019,79476,"TX",1
"1264","food_enough_notwant",1677836,863286,324234,392793,95088,2435,0,1171872,323502,119938,58663,1931,1929,"TX",1
"1265","food_sometimes",733968,406726,177925,125056,10672,13590,0,329896,307190,82845,9945,4091,0,"TX",1
"1266","food_notenough",301788,228459,23686,39563,0,7187,2893,22504,39862,17133,0,222289,0,"TX",1
"1267","food_nr",8392,0,3388,0,5004,0,0,0,3388,0,0,5004,0,"TX",1
"1268","25000>",1025424,545052,218633,205925,22518,30404,2893,581280,212508,137466,68260,25909,0,"TX",1
"1269","25000-34999",1092947,633815,201511,178058,58747,16827,3990,754291,197394,78985,45954,16323,0,"TX",1
"1270","35000-49999",526299,388892,60749,56873,17429,2355,0,385926,111192,10013,19168,0,0,"TX",1
"1271","50000-74999",1262859,972472,151335,67753,64890,6408,0,702386,280298,62635,2437,215102,0,"TX",1
"1272","75000-99999",578955,438666,71790,65720,1929,849,0,450674,94755,13287,15048,0,5191,"TX",1
"1273","100000-149999",860350,617315,98708,135511,8816,0,0,741796,107684,10870,0,0,0,"TX",1
"1274","150000-199999",402032,317433,73073,10953,574,0,0,331145,47738,23149,0,0,0,"TX",1
"1275","200000<",387277,350596,27171,9511,0,0,0,320006,62289,0,4982,0,0,"TX",1
"1276","income_nr",375433,206820,81049,25044,1178,0,61342,197682,100361,1178,0,0,76213,"TX",1
"1277","Total",66561640,46713712,11020451,4887743,1987773,1096152,855810,48326505,11133943,3308815,1411485,1034373,1346519,"USA",1
"1278","comp_school",24921595,18976439,3946985,1518348,479823,0,0,18279816,4538871,1245741,424981,405200,26987,"USA",1
"1279","comp_home",45512890,32996771,7809897,3384050,1322173,0,0,35228108,7504201,1822954,876301,60360,20966,"USA",1
"1280","comp_other",1088192,379905,255226,170963,282098,0,0,502573,160046,254786,142711,28075,0,"USA",1
"1281","comp_nr",2734951,376421,248882,131026,26660,1096152,855810,431075,178324,190789,91596,541865,1301302,"USA",1
"1282","int_school",1100926,682376,228542,144218,39183,5677,929,743335,256693,71258,29640,0,0,"USA",1
"1283","int_home",61118542,44514383,10057968,4412064,1576446,516798,40884,46600980,10381621,3013719,1122222,0,0,"USA",1
"1284","int_other",1002227,415814,260192,110202,178944,34163,2913,375098,250114,175492,201523,0,0,"USA",1
"1285","int_nr",3812018,1422228,584238,252319,196420,544800,812014,937854,332772,92867,67632,1034373,1346519,"USA",1
"1286","yes_unemployed",36345906,24315904,6465819,2934514,1321409,771364,536897,25033942,6809146,2034814,980396,592828,894781,"USA",1
"1287","no_unemployed",30170231,22389217,4517721,1953230,666363,324788,318913,23283971,4323814,1238073,431090,441545,451738,"USA",1
"1288","unemployed_nr",45503,8592,36911,0,0,0,0,8592,984,35928,0,0,0,"USA",1
"1289","resp_employed_yes",40600220,30086741,5999876,2658084,965139,407611,482770,30814757,6172246,1664125,731902,580941,636249,"USA",1
"1290","resp_employed_no",25850521,16569304,4976106,2229659,1014800,688541,372111,17454422,4952814,1603679,675903,453432,710270,"USA",1
"1291","resp_employed_nr",110899,57668,44468,0,7834,0,929,57326,8882,41011,3680,0,0,"USA",1
"1292","food_enough_want",44334805,34610263,6077312,1983283,760616,504595,398735,35645761,5656892,1372454,602259,312932,744507,"USA",1
"1293","food_enough_notwant",14904241,8820168,3450596,1674803,561298,175020,222357,9692657,3344685,899899,462442,171722,332836,"USA",1
"1294","food_sometimes",5783530,2523258,1300966,1079196,532394,207983,139732,2478975,1906365,837905,229515,165617,165153,"USA",1
"1295","food_notenough",1492744,724053,188189,150461,126503,208554,94986,489952,213555,188848,117269,379098,104023,"USA",1
"1296","food_nr",46320,35970,3388,0,6961,0,0,19160,12446,9709,0,5004,0,"USA",1
"1297","25000>",9785511,5517930,1731048,1299926,684708,546085,5815,5575661,2157498,1032397,592406,415297,12252,"USA",1
"1298","25000-34999",7292855,4306843,1596918,818125,381607,174710,14652,4727909,1604020,605875,201216,107016,46819,"USA",1
"1299","35000-49999",7858182,5198695,1456603,763987,247463,153627,37808,5551206,1500120,446420,203451,110179,46806,"USA",1
"1300","50000-74999",10573760,7740310,1737124,702214,329454,57354,7304,7775414,1811034,546849,173647,262908,3908,"USA",1
"1301","75000-99999",8160935,6138704,1491736,380131,95518,54846,0,6343094,1364409,319701,84050,42188,7493,"USA",1
"1302","100000-149999",9995679,7760931,1454658,540414,138022,73552,28101,8244838,1438056,157636,86852,62979,5317,"USA",1
"1303","150000-199999",4463165,3780918,532437,117153,20618,10300,1738,3939978,422205,74826,16047,10109,0,"USA",1
"1304","200000<",5200854,4628820,418044,116801,16916,17964,2309,4676458,439120,50093,21686,13495,0,"USA",1
"1305","income_nr",3230700,1640561,601883,148992,73465,7715,758083,1491945,397481,75019,32130,10201,1223923,"USA",1
"1306","Total",733320,554324,116177,32036,17393,12457,934,596200,100469,16384,11232,2829,6206,"UT",1
"1307","comp_school",292323,211934,50981,14406,15003,0,0,229940,44357,14921,987,1038,1081,"UT",1
"1308","comp_home",547221,418171,100462,26199,2390,0,0,466434,74129,5004,1655,0,0,"UT",1
"1309","comp_other",23810,22814,0,995,0,0,0,22814,0,995,0,0,0,"UT",1
"1310","comp_nr",18098,4190,516,0,0,12457,934,516,2075,0,8590,1792,5125,"UT",1
"1311","int_school",27594,17419,479,4168,5529,0,0,19004,8590,0,0,0,0,"UT",1
"1312","int_home",688398,535564,106859,32036,11864,2075,0,584392,86409,14956,2642,0,0,"UT",1
"1313","int_other",22089,11861,1638,0,0,8590,0,11219,852,1429,8590,0,0,"UT",1
"1314","int_nr",17304,6899,7679,0,0,1792,934,590,7679,0,0,2829,6206,"UT",1
"1315","yes_unemployed",300027,205904,50922,16640,15895,10665,0,220834,56870,9399,9577,0,3347,"UT",1
"1316","no_unemployed",433293,348420,65255,15396,1497,1792,934,375366,43600,6985,1655,2829,2859,"UT",1
"1317","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"UT",1
"1318","resp_employed_yes",515749,394493,96424,17880,6421,0,531,427118,75781,6407,1869,1038,3537,"UT",1
"1319","resp_employed_no",216688,158948,19752,14156,10972,12457,403,168199,24688,9978,9362,1792,2669,"UT",1
"1320","resp_employed_nr",883,883,0,0,0,0,0,883,0,0,0,0,0,"UT",1
"1321","food_enough_want",577495,461518,86435,21809,7330,0,403,504603,56808,10194,215,0,5674,"UT",1
"1322","food_enough_notwant",115535,72363,28378,10142,4121,0,531,72848,34598,5130,2427,0,531,"UT",1
"1323","food_sometimes",25929,16877,1364,85,5529,2075,0,16866,9063,0,0,0,0,"UT",1
"1324","food_notenough",13771,2976,0,0,414,10382,0,1292,0,1060,8590,2829,0,"UT",1
"1325","food_nr",590,590,0,0,0,0,0,590,0,0,0,0,0,"UT",1
"1326","25000>",57637,39409,4928,2918,0,10382,0,40471,4386,2398,8590,1792,0,"UT",1
"1327","25000-34999",49843,26980,11967,7381,3516,0,0,24445,21450,2293,1655,0,0,"UT",1
"1328","35000-49999",78819,59005,7839,9899,0,2075,0,68255,8248,1544,772,0,0,"UT",1
"1329","50000-74999",100966,72051,18760,4626,5529,0,0,71999,23756,2878,215,1038,1081,"UT",1
"1330","75000-99999",138512,106017,22744,1402,8349,0,0,118858,12803,6851,0,0,0,"UT",1
"1331","100000-149999",167171,143636,19750,3785,0,0,0,153384,13368,419,0,0,0,"UT",1
"1332","150000-199999",65204,50679,12500,2025,0,0,0,59113,6091,0,0,0,0,"UT",1
"1333","200000<",55299,46696,8603,0,0,0,0,52821,2479,0,0,0,0,"UT",1
"1334","income_nr",19868,9849,9084,0,0,0,934,6854,7889,0,0,0,5125,"UT",1
"1335","Total",1572541,1099304,270875,123375,52532,10491,15965,1190051,263323,73270,14096,11017,20783,"VA",1
"1336","comp_school",587172,476957,69704,40511,0,0,0,443704,116625,26843,0,0,0,"VA",1
"1337","comp_home",1163772,817747,200867,98892,46266,0,0,941132,158033,43047,10542,11017,0,"VA",1
"1338","comp_other",39255,8355,15740,8894,6266,0,0,16063,8033,15160,0,0,0,"VA",1
"1339","comp_nr",38387,8511,3420,0,0,10491,15965,12590,1460,0,3553,0,20783,"VA",1
"1340","int_school",5561,1611,0,3950,0,0,0,1611,2300,1650,0,0,0,"VA",1
"1341","int_home",1512524,1088385,265147,115064,36564,7364,0,1184058,256536,65912,6018,0,0,"VA",1
"1342","int_other",20094,5046,2308,9613,0,3127,0,2979,3027,10961,3127,0,0,"VA",1
"1343","int_nr",41599,6246,3420,0,15968,0,15965,3388,1460,0,4951,11017,20783,"VA",1
"1344","yes_unemployed",712701,473907,119140,71139,36962,3553,7999,512102,135075,32225,10903,11017,11379,"VA",1
"1345","no_unemployed",859840,625397,151735,52235,15570,6937,7965,677950,128249,41045,3193,0,9404,"VA",1
"1346","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"VA",1
"1347","resp_employed_yes",1095409,793575,196872,68369,22595,1987,12011,867586,173173,38007,3193,0,13449,"VA",1
"1348","resp_employed_no",477132,305730,74003,55006,29937,8504,3954,322466,90150,35263,10903,11017,7334,"VA",1
"1349","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"VA",1
"1350","food_enough_want",1133553,847783,171405,72171,21278,4951,15965,953352,129088,25566,8144,0,17403,"VA",1
"1351","food_enough_notwant",287990,194856,68534,21226,3373,0,0,182416,82786,17009,2399,0,3380,"VA",1
"1352","food_sometimes",120626,33363,30935,26923,24348,5057,0,37735,40679,27641,3553,11017,0,"VA",1
"1353","food_notenough",30372,23301,0,3055,3533,483,0,16547,10770,3055,0,0,0,"VA",1
"1354","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"VA",1
"1355","25000>",107655,56573,3218,32438,12299,3127,0,56570,22210,14730,3127,11017,0,"VA",1
"1356","25000-34999",140035,64020,64153,3610,6266,1987,0,86196,34515,19324,0,0,0,"VA",1
"1357","35000-49999",206137,127468,53621,3302,16795,4951,0,145822,46856,7733,5726,0,0,"VA",1
"1358","50000-74999",256718,164819,23830,58379,9264,426,0,175311,64141,16840,426,0,0,"VA",1
"1359","75000-99999",161194,128609,18970,13615,0,0,0,146568,6082,6145,2399,0,0,"VA",1
"1360","100000-149999",245688,185928,50147,9613,0,0,0,178917,62275,4496,0,0,0,"VA",1
