"","Select characteristics...1","Total","device_always","device_usually","device_sometimes","device_rarely","device_never","device_nr","internet_always","internet_usually","internet_sometimes","internet_rarely","internet_never","internet_nr","State","Week"
"64","int_school",14538,3833,0,0,10705,0,0,3833,10705,0,0,0,0,"AR",1
"65","int_home",575452,373047,100892,49161,28688,23664,0,399401,87641,52147,36263,0,0,"AR",1
"66","int_other",42810,3217,5524,4999,29070,0,0,5346,5524,2869,29070,0,0,"AR",1
"67","int_nr",57063,6292,7880,0,5841,19364,17686,5343,1877,0,0,30067,19776,"AR",1
"68","yes_unemployed",336225,179239,55499,43345,38608,19533,0,173945,64870,28786,43061,25563,0,"AR",1
"69","no_unemployed",349458,202969,58797,10814,35696,23495,17686,235798,40877,26230,22273,4505,19776,"AR",1
"70","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"AR",1
"71","resp_employed_yes",424084,251209,72337,34846,23678,24328,17686,276107,61819,26796,25701,13885,19776,"AR",1
"72","resp_employed_no",261599,130999,41959,19314,50627,18700,0,133635,43928,28220,39632,16183,0,"AR",1
"73","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"AR",1
"74","food_enough_want",402017,243259,73601,10397,33597,37970,3193,281879,56344,28887,14485,15139,5283,"AR",1
"75","food_enough_notwant",206747,109950,30102,35387,17648,0,13660,104794,36773,15556,31264,4701,13660,"AR",1
"76","food_sometimes",66255,21803,9362,6139,23059,5058,833,15873,12631,7676,19014,10228,833,"AR",1
"77","food_notenough",10664,7197,1231,2237,0,0,0,7197,0,2897,570,0,0,"AR",1
"78","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"AR",1
"79","25000>",150756,68972,11974,23322,30346,16142,0,71102,14812,18343,25160,21338,0,"AR",1
"80","25000-34999",113597,49416,12469,2408,24084,25220,0,63586,29317,6072,10548,4073,0,"AR",1
"81","35000-49999",75848,26631,19520,23675,4355,1666,0,24213,19666,3938,26364,1666,0,"AR",1
